Variable,aOR_FRAX_Adjusted,P_Value
RADIUS_ttvBMD,1.82 (1.13-2.93),0.014299149912999107
RADIUS_TB.N,2.44 (1.48-4.02),0.0004937055232815054
RADIUS_CT.PO,0.89 (0.55-1.42),0.6151039093749908
F.Load_RADIUS,1.85 (1.06-3.24),0.03131194192983815
TIBIA_ttvBMD,1.49 (0.95-2.35),0.08276076969027876
TIBIA_TB.N,1.70 (1.07-2.71),0.024076137936222316
TIBIA_CT.PO,1.35 (0.78-2.31),0.2811681590215701
F.Load_TIBIA,1.06 (0.69-1.64),0.7820349214112599
