Variable,aOR_FRAX_Adjusted,P_Value
RADIUS_ttvBMD,2.08 (1.16-3.74),0.014458853525168494
RADIUS_TB.N,2.82 (1.51-5.26),0.0010942853604836659
RADIUS_CT.PO,1.29 (0.78-2.14),0.31826407222254705
F.Load_RADIUS,1.98 (1.12-3.50),0.01823178129233908
TIBIA_ttvBMD,1.89 (1.07-3.36),0.02882292597271212
TIBIA_TB.N,2.08 (1.17-3.69),0.01273555588875064
TIBIA_CT.PO,1.49 (0.75-2.97),0.2581882803317598
F.Load_TIBIA,1.76 (1.00-3.07),0.04852716391306864
