Variable,aOR_FRAX_Adjusted,P_Value
RADIUS_ttvBMD,1.62 (1.21-2.19),0.0014479791857678703
RADIUS_TB.N,1.58 (1.18-2.11),0.0019158238779800412
RADIUS_CT.PO,1.10 (0.83-1.46),0.5058492736806377
F.Load_RADIUS,1.32 (0.98-1.77),0.06733531552850719
TIBIA_ttvBMD,1.31 (0.98-1.76),0.06798996448245345
TIBIA_TB.N,1.49 (1.12-2.00),0.006843765373659769
TIBIA_CT.PO,1.08 (0.82-1.43),0.5690588450091083
F.Load_TIBIA,1.18 (0.89-1.56),0.2530095116849034
